,ISBN,book_id,Publication Year,Author,Title,AvgRating,Image-URL,Image-URL-S
4954,0070037485,4955,1977,Stephen R. Donaldson,"The Illearth War (The Chronicles of Thomas Covenant the Unbeliever, #2)",3.99,https://images.gr-assets.com/books/1387037078m/228990.jpg,https://images.gr-assets.com/books/1387037078s/228990.jpg
4955,3499102277,4956,2007,Russell Brand,My Booky Wook,3.42,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4956,0872203948,4957,2014,Nora Roberts,"Shadow Spell (The Cousins O'Dwyer Trilogy, #2)",4.0,https://images.gr-assets.com/books/1458263039m/18527947.jpg,https://images.gr-assets.com/books/1458263039s/18527947.jpg
4957,0385721404,4958,2010,Simon Garfield,Just My Type: A Book About Fonts,3.79,https://images.gr-assets.com/books/1327886002m/10909804.jpg,https://images.gr-assets.com/books/1327886002s/10909804.jpg
4958,0375410597,4959,2009,J.D. Robb,"Promises in Death (In Death, #28)",4.4,https://images.gr-assets.com/books/1417318467m/3492020.jpg,https://images.gr-assets.com/books/1417318467s/3492020.jpg
4959,0440125081,4960,1977,Charles Bukowski,Love Is a Dog from Hell,4.16,https://images.gr-assets.com/books/1377260823m/23534.jpg,https://images.gr-assets.com/books/1377260823s/23534.jpg
4960,0446604275,4961,2015,N.K. Jemisin,"The Fifth Season (The Broken Earth, #1)",4.31,https://images.gr-assets.com/books/1386803701m/19161852.jpg,https://images.gr-assets.com/books/1386803701s/19161852.jpg
4961,0671501747,4962,2012,R.D. Ronald,The Zombie Room,3.61,https://images.gr-assets.com/books/1348552492m/13568322.jpg,https://images.gr-assets.com/books/1348552492s/13568322.jpg
4962,0805040900,4963,2002,John Katzenbach,The Analyst,4.12,https://images.gr-assets.com/books/1280112638m/67931.jpg,https://images.gr-assets.com/books/1280112638s/67931.jpg
4963,0465006930,4964,2009,Jasper Fforde,Shades of Grey,4.14,https://images.gr-assets.com/books/1327563734m/2113260.jpg,https://images.gr-assets.com/books/1327563734s/2113260.jpg
4964,0670804541,4965,1971,S.E. Hinton,"That Was Then, This Is Now",3.89,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4965,0679741836,4966,2009,"Trenton Lee Stewart, Del Roy","The Mysterious Benedict Society and the Prisoner's Dilemma (The Mysterious Benedict Society, #3)",4.28,https://images.gr-assets.com/books/1320473034m/6164358.jpg,https://images.gr-assets.com/books/1320473034s/6164358.jpg
4966,068810391X,4967,2011,Kevin    Wilson,The Family Fang,3.6,https://images.gr-assets.com/books/1444101399m/10149142.jpg,https://images.gr-assets.com/books/1444101399s/10149142.jpg
4967,0849912903,4968,2006,Chris Gardner,The Pursuit of Happyness,4.17,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4968,034531798X,4969,2009,Karl Ove Knausgård,Min kamp 1 (Min kamp #1),4.08,https://images.gr-assets.com/books/1262695721m/7147831.jpg,https://images.gr-assets.com/books/1262695721s/7147831.jpg
4969,0812968379,4970,2011,Alan Bradley,"A Red Herring Without Mustard (Flavia de Luce, #3)",4.07,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4970,0312961294,4971,1994,Doris Kearns Goodwin,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,4.2,https://images.gr-assets.com/books/1423756471m/18728.jpg,https://images.gr-assets.com/books/1423756471s/18728.jpg
4971,034545071X,4972,1997,Richard Russo,Straight Man,4.02,https://images.gr-assets.com/books/1430659357m/414298.jpg,https://images.gr-assets.com/books/1430659357s/414298.jpg
4972,0451188470,4973,1961,Walker Percy,The Moviegoer,3.7,https://images.gr-assets.com/books/1437668043m/10739.jpg,https://images.gr-assets.com/books/1437668043s/10739.jpg
4973,006019541X,4974,1904,"Anton Chekhov, Tom    Murphy",The Cherry Orchard,3.68,https://images.gr-assets.com/books/1464433142m/87346.jpg,https://images.gr-assets.com/books/1464433142s/87346.jpg
4974,0446527696,4975,2009,Wendy Mass,"11 Birthdays (Willow Falls, #1)",4.18,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4975,0446609749,4976,1980,"J.R.R. Tolkien, Christopher Tolkien",Unfinished Tales of Númenor and Middle-Earth,3.93,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4976,0375502238,4977,2011,Ann Brashares,"Sisterhood Everlasting (Sisterhood, #5)",3.9,https://images.gr-assets.com/books/1327878529m/9461872.jpg,https://images.gr-assets.com/books/1327878529s/9461872.jpg
4977,0440202043,4978,1989,Grant Naylor,Infinity Welcomes Careful Drivers (Red Dwarf #1),4.03,https://images.gr-assets.com/books/1403947775m/349090.jpg,https://images.gr-assets.com/books/1403947775s/349090.jpg
4978,0345285557,4979,1994,Christopher Moore,Coyote Blue,3.75,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4979,0821723243,4980,1997,"أحلام مستغانمي, Ahlam Mosteghanemi",فوضى الحواس,3.83,https://images.gr-assets.com/books/1291848735m/2501455.jpg,https://images.gr-assets.com/books/1291848735s/2501455.jpg
4980,0312156499,4981,1908,G.K. Chesterton,Orthodoxy,4.23,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4981,0938077112,4982,2005,"Jane O'Connor, Robin Preiss Glasser",Fancy Nancy,4.15,https://images.gr-assets.com/books/1376473636m/426625.jpg,https://images.gr-assets.com/books/1376473636s/426625.jpg
4982,0312975228,4983,1948,Graham Greene,The Heart of the Matter,3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4983,0590452037,4984,2014,Jeff Kinney,"The Long Haul (Diary of a Wimpy Kid, #9)",4.33,https://images.gr-assets.com/books/1408500992m/21535019.jpg,https://images.gr-assets.com/books/1408500992s/21535019.jpg
4984,0451183665,4985,1985,"Patricia C. Wrede, Peter de Sève","Talking to Dragons (Enchanted Forest Chronicles, #4)",4.19,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4985,0061097268,4986,2008,"James Patterson, Howard Roughan",Sail,3.8,https://images.gr-assets.com/books/1344264435m/2029176.jpg,https://images.gr-assets.com/books/1344264435s/2029176.jpg
4986,0553111531,4987,2014,"Neil Gaiman, Chris Riddell",The Sleeper and the Spindle,3.9,https://images.gr-assets.com/books/1412343723m/23301545.jpg,https://images.gr-assets.com/books/1412343723s/23301545.jpg
4987,0439137411,4988,2014,Susan Meissner,A Fall of Marigolds,4.04,https://images.gr-assets.com/books/1385964725m/18114142.jpg,https://images.gr-assets.com/books/1385964725s/18114142.jpg
4988,0312155859,4989,1984,"A.N. Roquelaure, Anne Rice","Beauty's Punishment (Sleeping Beauty, #2)",3.62,https://images.gr-assets.com/books/1426861477m/18750.jpg,https://images.gr-assets.com/books/1426861477s/18750.jpg
4989,0380758377,4990,2000,Dee Henderson,"The Negotiator (O'Malley, #1)",4.32,https://images.gr-assets.com/books/1406508359m/285011.jpg,https://images.gr-assets.com/books/1406508359s/285011.jpg
4990,0345441761,4991,2011,Ravinder Singh,Can Love Happen Twice?,3.31,https://images.gr-assets.com/books/1321016822m/13041934.jpg,https://images.gr-assets.com/books/1321016822s/13041934.jpg
4991,0399150897,4992,2008,"Gregory Maguire, Douglas Smith","A Lion Among Men (The Wicked Years, #3)",3.29,https://images.gr-assets.com/books/1370992593m/3124249.jpg,https://images.gr-assets.com/books/1370992593s/3124249.jpg
4992,0449911160,4993,1994,Raymond E. Feist,"Shadow of a Dark Queen (The Serpentwar Saga, #1)",4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4993,0671868640,4994,1989,Tobias Wolff,This Boy's Life,3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4994,0553247379,4995,2009,Jonathan Maberry,"Patient Zero (Joe Ledger, #1)",3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4995,0061043508,4996,1927,Willa Cather,Death Comes for the Archbishop,3.88,https://images.gr-assets.com/books/1436632846m/545951.jpg,https://images.gr-assets.com/books/1436632846s/545951.jpg
4996,0811828964,4997,2012,Patricia Briggs,"Fair Game (Alpha & Omega, #3)",4.34,https://images.gr-assets.com/books/1327472384m/7942786.jpg,https://images.gr-assets.com/books/1327472384s/7942786.jpg
4997,0671624342,4998,2013,Rick Riordan,"The Son of Sobek (Percy Jackson & Kane Chronicles Crossover, #1)",4.26,https://images.gr-assets.com/books/1367948073m/17312201.jpg,https://images.gr-assets.com/books/1367948073s/17312201.jpg
4998,0786890169,4999,1664,"Molière, Martin Sorrell",Tartuffe,3.66,https://images.gr-assets.com/books/1319501006m/52823.jpg,https://images.gr-assets.com/books/1319501006s/52823.jpg
4999,074322535X,5000,2009,Larissa Ione,Passion Unleashed (Demonica #3),4.32,https://images.gr-assets.com/books/1344267582m/4701550.jpg,https://images.gr-assets.com/books/1344267582s/4701550.jpg
5000,0399148728,5001,2004,Kazune Kawahara,"High School Debut, Vol. 01 (High School Debut, #1)",4.11,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5001,0071349294,5002,2011,أثير عبدالله النشمي,في ديسمبر تنتهي كل الأحلام,3.33,https://images.gr-assets.com/books/1304699101m/10400407.jpg,https://images.gr-assets.com/books/1304699101s/10400407.jpg
5002,0312869061,5003,1975,Mercer Mayer,Just for You (Little Critter),4.25,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5003,0812968212,5004,2002,James Rollins,Amazonia,4.11,https://images.gr-assets.com/books/1440044334m/294047.jpg,https://images.gr-assets.com/books/1440044334s/294047.jpg
5004,0312264372,5005,1980,David D. Burns,Feeling Good: The New Mood Therapy,3.95,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5005,0684841185,5006,2005,Nora Roberts,Blue Smoke,3.97,https://images.gr-assets.com/books/1309286007m/114184.jpg,https://images.gr-assets.com/books/1309286007s/114184.jpg
5006,0749005491,5007,2005,Patricia Cornwell,"Predator (Kay Scarpetta, #14)",3.67,https://images.gr-assets.com/books/1310552145m/6528.jpg,https://images.gr-assets.com/books/1310552145s/6528.jpg
5007,0679463070,5008,1986,Melody Beattie,Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,4.13,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5008,0399146865,5009,1859,"Ivan Goncharov, Stephen Pearl, Galya Diment",Oblomov,4.0,https://images.gr-assets.com/books/1456384296m/254308.jpg,https://images.gr-assets.com/books/1456384296s/254308.jpg
5009,0312873085,5010,1994,Clive Cussler,"Inca Gold (Dirk Pitt, #12)",3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5010,0875964249,5011,2014,Ruth Reichl,Delicious!,3.75,https://images.gr-assets.com/books/1404478598m/18167006.jpg,https://images.gr-assets.com/books/1404478598s/18167006.jpg
5011,0028625757,5012,2008,"Po Bronson, Ashley Merryman",NurtureShock: New Thinking About Children,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5012,0399146687,5013,2006,Nelson DeMille,"Wild Fire (John Corey, #4)",3.99,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5013,055380099X,5014,2006,Mary Higgins Clark,Two Little Girls in Blue,3.85,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5014,0316693286,5015,1987,"Raymond E. Feist, Janny Wurts","Daughter of the Empire (The Empire Trilogy, #1)",4.24,https://images.gr-assets.com/books/1404668411m/589979.jpg,https://images.gr-assets.com/books/1404668411s/589979.jpg
5015,0670861944,5016,2006,Neal Shusterman,"Everlost (Skinjacker, #1)",3.94,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5016,0399146237,5017,2011,Kresley Cole,Dreams of a Dark Warrior (Immortals After Dark #11),4.39,https://images.gr-assets.com/books/1285724086m/8534799.jpg,https://images.gr-assets.com/books/1285724086s/8534799.jpg
5017,0684842106,5018,2010,"John Grisham, Richard Thomas","Theodore Boone: Kid Lawyer (Theodore Boone, #1)",3.72,https://images.gr-assets.com/books/1275094812m/7824997.jpg,https://images.gr-assets.com/books/1275094812s/7824997.jpg
5018,0439164842,5019,2000,Chris Ware,"Jimmy Corrigan, the Smartest Kid on Earth",4.1,https://images.gr-assets.com/books/1327962921m/34072.jpg,https://images.gr-assets.com/books/1327962921s/34072.jpg
5019,0060174056,5020,2000,Richard Peck,"A Year Down Yonder (A Long Way from Chicago, #2)",4.1,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5020,0373484887,5021,2013,Kristen Ashley,"Own the Wind (Chaos, #1)",4.22,https://images.gr-assets.com/books/1358119230m/16163690.jpg,https://images.gr-assets.com/books/1358119230s/16163690.jpg
5021,8466304592,5022,1999,Carlos Ruiz Zafón,Marina,3.99,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5022,0099521016,5023,2010,Ann Brashares,My Name Is Memory,3.7,https://images.gr-assets.com/books/1307512606m/7135858.jpg,https://images.gr-assets.com/books/1307512606s/7135858.jpg
5023,0750005815,5024,1992,Jeanette Winterson,Written on the Body,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5024,075001203X,5025,2011,Colleen Houck,"Tiger's Voyage (The Tiger Saga, #3)",4.35,https://images.gr-assets.com/books/1320459742m/7849341.jpg,https://images.gr-assets.com/books/1320459742s/7849341.jpg
5025,0330261878,5026,2009,Dean Koontz,"Dead and Alive (Dean Koontz's Frankenstein, #3)",4.01,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5026,0140302395,5027,1999,Matt Ridley,Genome: the Autobiography of a Species in 23 Chapters,4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5027,0060086246,5028,1982,Sandra Boynton,The Going-To-Bed Book,4.22,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5028,0451180429,5029,2001,Louise Rennison,"Knocked Out by My Nunga-Nungas (Confessions of Georgia Nicolson, #3)",3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5029,0373250126,5030,2001,"Tim LaHaye, Jerry B. Jenkins","Desecration (Left Behind, #9)",4.0,https://images.gr-assets.com/books/1406505722m/27526.jpg,https://images.gr-assets.com/books/1406505722s/27526.jpg
5030,0060723890,5031,2014,Phil Klay,Redeployment,3.98,https://images.gr-assets.com/books/1417987993m/18114068.jpg,https://images.gr-assets.com/books/1417987993s/18114068.jpg
5031,0373250193,5032,2009,Libba Bray,Going Bovine,3.65,https://images.gr-assets.com/books/1320391025m/6512140.jpg,https://images.gr-assets.com/books/1320391025s/6512140.jpg
5032,0758204930,5033,1934,James M. Cain,The Postman Always Rings Twice,3.81,https://images.gr-assets.com/books/1344265267m/25807.jpg,https://images.gr-assets.com/books/1344265267s/25807.jpg
5033,0451410947,5034,2010,Carrie Ryan,"The Dead-Tossed Waves (The Forest of Hands and Teeth, #2)",3.91,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5034,038550926X,5035,2004,Robert Kurson,Shadow Divers,4.26,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5035,0061010707,5036,2010,Clare Vanderpool,Moon Over Manifest,4.02,https://images.gr-assets.com/books/1320541883m/8293938.jpg,https://images.gr-assets.com/books/1320541883s/8293938.jpg
5036,3462031112,5037,2000,Amitav Ghosh,The Glass Palace,3.94,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5037,3499187809,5038,2012,"Jessica Anthony, Rodrigo Corral",Chopsticks,3.72,https://images.gr-assets.com/books/1364073067m/10710392.jpg,https://images.gr-assets.com/books/1364073067s/10710392.jpg
5038,3446203966,5039,2015,Lisa Scottoline,Every Fifteen Minutes,3.72,https://images.gr-assets.com/books/1428638866m/21853628.jpg,https://images.gr-assets.com/books/1428638866s/21853628.jpg
5039,3442727367,5040,2013,James Dashner,"The Eye of Minds (The Mortality Doctrine, #1)",3.85,https://images.gr-assets.com/books/1358659346m/16279856.jpg,https://images.gr-assets.com/books/1358659346s/16279856.jpg
5040,3216303217,5041,1957,Agatha Christie,"4:50 from Paddington (Miss Marple, #8)",3.92,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5041,3442444020,5042,1997,J.D. Robb,"Ceremony in Death (In Death, #5)",4.26,https://images.gr-assets.com/books/1376018955m/74036.jpg,https://images.gr-assets.com/books/1376018955s/74036.jpg
5042,3257229364,5043,1998,"Jo Nesbø, Don Bartlett","Cockroaches (Harry Hole, #2)",3.71,https://images.gr-assets.com/books/1418343189m/18373214.jpg,https://images.gr-assets.com/books/1418343189s/18373214.jpg
5043,349961118X,5044,2006,Charlaine Harris,"Grave Surprise (Harper Connelly, #2)",3.88,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5044,3795116074,5045,2002,"Isabel Allende, Margaret Sayers Peden","City of the Beasts (Eagle and Jaguar, #1)",3.69,https://images.gr-assets.com/books/1331488122m/3304.jpg,https://images.gr-assets.com/books/1331488122s/3304.jpg
5045,3499232103,5046,1959,"Naguib Mahfouz, نجيب محفوظ",أولاد حارتنا,4.1,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5046,0552998001,5047,2002,China Miéville,"The Scar (Bas-Lag, #2)",4.15,https://images.gr-assets.com/books/1320435192m/68497.jpg,https://images.gr-assets.com/books/1320435192s/68497.jpg
5047,3499114178,5048,2003,Meg Cabot,"Haunted (The Mediator, #5)",4.15,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5048,3442439736,5049,1979,Anne McCaffrey,"Dragondrums (Harper Hall, #3)",4.04,https://images.gr-assets.com/books/1410942131m/28553.jpg,https://images.gr-assets.com/books/1410942131s/28553.jpg
5049,3442350484,5050,2011,Rachel Simon,The Story of Beautiful Girl,3.92,https://images.gr-assets.com/books/1336851169m/9545064.jpg,https://images.gr-assets.com/books/1336851169s/9545064.jpg
5050,0671004530,5051,1999,Dava Sobel,"Galileo's Daughter: A Historical Memoir of Science, Faith and Love",3.74,https://images.gr-assets.com/books/1414607526m/18646.jpg,https://images.gr-assets.com/books/1414607526s/18646.jpg
5051,3421056056,5052,1961,Leon Uris,Mila 18,4.27,https://images.gr-assets.com/books/1359742799m/42692.jpg,https://images.gr-assets.com/books/1359742799s/42692.jpg
5052,3442720141,5053,2011,Allen Say,Drawing from Memory,3.81,https://images.gr-assets.com/books/1328837508m/11391817.jpg,https://images.gr-assets.com/books/1328837508s/11391817.jpg
5053,325722575X,5054,2008,Amitav Ghosh,"Sea of Poppies (Ibis Trilogy, #1)",3.93,https://images.gr-assets.com/books/1327376395m/1330324.jpg,https://images.gr-assets.com/books/1327376395s/1330324.jpg
5054,3442413338,5055,1970,"Isaac Asimov, Robert Silverberg",Nightfall,4.01,https://images.gr-assets.com/books/1368557860m/99245.jpg,https://images.gr-assets.com/books/1368557860s/99245.jpg
5055,3499129728,5056,2003,"Melinda Long, David Shannon",How I Became a Pirate,4.07,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5056,3442435366,5057,1975,Edward Abbey,"The Monkey Wrench Gang (Monkey Wrench Gang, #1)",4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5057,3442441382,5058,2009,John Irving,Last Night in Twisted River,3.74,https://images.gr-assets.com/books/1399850194m/6323821.jpg,https://images.gr-assets.com/books/1399850194s/6323821.jpg
5058,3499613638,5059,2011,Rob Bell,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",3.54,https://images.gr-assets.com/books/1327878550m/10115852.jpg,https://images.gr-assets.com/books/1327878550s/10115852.jpg
5059,3499134411,5060,2011,Rachel Caine,"Bite Club (The Morganville Vampires, #10)",4.23,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5060,3257224303,5061,1985,Jeffrey Archer,A Matter of Honor,3.9,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5061,3462025864,5062,2000,Linda Howard,Mr. Perfect,4.07,https://images.gr-assets.com/books/1327960914m/469901.jpg,https://images.gr-assets.com/books/1327960914s/469901.jpg
5062,0811811654,5063,2013,M. Leighton,"Up to Me (The Bad Boys, #2)",4.12,https://images.gr-assets.com/books/1355328750m/16093188.jpg,https://images.gr-assets.com/books/1355328750s/16093188.jpg
5063,0440226414,5064,2012,Mira Lyn Kelly,"Waking Up Married (Waking Up, #1)",3.53,https://images.gr-assets.com/books/1352411782m/16124019.jpg,https://images.gr-assets.com/books/1352411782s/16124019.jpg
5064,0060233532,5065,2007,Linwood Barclay,No Time for Goodbye (No Time For Goodbye #1),4.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5065,0060959037,5066,2004,Katherine Hannigan,"Ida B. . . and Her Plans to Maximize Fun, Avoid Disaster, and (Possibly) Save the World",3.86,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5066,055327886X,5067,2009,Robin Hobb,"The Dragon Keeper (Rain Wild Chronicles, #1)",3.93,https://images.gr-assets.com/books/1330079386m/4703450.jpg,https://images.gr-assets.com/books/1330079386s/4703450.jpg
5067,0805036377,5068,1949,Aldo Leopold,A Sand County Almanac and Sketches Here and There,4.24,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5068,0688156134,5069,1940,"Eric Knight, Marguerite Kirmse",Lassie Come-Home,4.16,https://images.gr-assets.com/books/1316130656m/895886.jpg,https://images.gr-assets.com/books/1316130656s/895886.jpg
5069,0374232415,5070,2001,"T. Colin Campbell, Thomas M. Campbell II","The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",4.21,https://images.gr-assets.com/books/1376474019m/178788.jpg,https://images.gr-assets.com/books/1376474019s/178788.jpg
5070,014028009X,5071,1999,"Julia Donaldson, Axel Scheffler",The Gruffalo,4.47,https://images.gr-assets.com/books/1329674496m/1013383.jpg,https://images.gr-assets.com/books/1329674496s/1013383.jpg
5071,0060697024,5072,2002,Douglas Adams,"The Salmon of Doubt (Dirk Gently, #3)",3.92,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5072,0140254587,5073,1956,Arthur C. Clarke,The City and the Stars,4.08,https://images.gr-assets.com/books/1340242824m/250024.jpg,https://images.gr-assets.com/books/1340242824s/250024.jpg
